City,Country,"Meal, Inexpensive Restaurant (USD)",Beer (USD),Cappuccino (USD),Coke/Pepsi (USD),Water (USD),Eggs (USD),Chicken Fillets (1kg) (USD),Beef Round (1kg) (USD),Monthly Pass (USD),Utilities (USD),Apartment (1 bedroom) in City Centre (USD),Average Monthly Net Salary (After Tax) (USD)
Istanbul,Turkey,5.37,2.68,1.98,0.9,0.32,1.81,4.18,9.08,32.31,68.88,554.82,383.04
London,United Kingdom,18.45,7.26,4.14,2.12,1.69,2.93,8.19,12.3,184.5,299.36,2417.07,4033.84
Paris,France,15.81,7.38,3.89,2.88,2.44,3.67,13.01,23.13,79.03,199.44,1365.19,2752.34
Madrid,Spain,12.64,3.69,2.23,2.35,1.67,2.45,7.45,11.92,57.48,166.08,1056.14,2089.54
Barcelona,Spain,14.75,3.16,2.35,2.2,1.52,2.62,7.45,12.0,42.15,170.85,1083.72,1978.23
Berlin,Germany,12.64,4.21,3.37,2.52,1.95,2.99,9.87,14.43,89.57,308.3,1321.9,3158.05
Rome,Italy,16.33,5.27,1.5,2.09,1.15,3.59,9.95,15.85,36.88,197.83,1070.3,1579.61
Vienna,Austria,15.81,4.74,3.89,3.03,2.36,3.68,10.9,16.52,34.77,216.55,997.3,2735.42
Warsaw,Poland,7.89,3.16,2.97,1.36,1.29,2.5,5.61,10.44,24.79,198.99,793.08,1286.21
Budapest,Hungary,8.23,2.06,1.85,1.14,0.93,2.78,4.81,10.09,24.43,154.04,492.44,974.48
Prague,Czech Republic,8.65,2.16,2.79,1.66,1.25,2.34,8.53,12.39,23.79,267.29,945.17,1686.36
Amsterdam,Netherlands,19.49,5.99,3.58,2.72,2.51,3.75,10.12,20.98,104.85,281.94,1799.7,3655.44
Lisbon,Portugal,12.64,2.63,1.97,1.73,1.2,2.67,6.94,10.89,42.15,130.77,1242.34,1125.31
Valencia,Spain,12.64,3.16,2.12,1.96,1.45,2.21,7.23,13.55,31.61,141.51,808.48,1557.61
